États-Unis | Énergie | FirstEnergy | https://www.firstenergycorp.com | USD 13.47 Md | FY2024 | https://www.macrotrends.net/stocks/charts/FE/firstenergy/revenue | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | Énergie | Williams Companies | https://www.williams.com | USD 10.50 Md | FY2024 | https://investor.williams.com/news-releases | Large cap / groupe >1 Md | Solide, midstream gaz
États-Unis | Énergie | ONEOK | https://www.oneok.com | USD 21.7 Md | FY2024 | https://www.prnewswire.com/news-releases/oneok-announces-higher-fourth-quarter-and-full-year-2024-earnings-302383861.html | Large cap / groupe >1 Md | Solide, midstream
États-Unis | Énergie | Kinder Morgan | https://www.kindermorgan.com | USD 15.1 Md | FY2024 | https://ir.kindermorgan.com/news/news-details/2025/Kinder-Morgan-Reports-Fourth-Quarter-2024-Financial-Results/default.aspx | Large cap / groupe >1 Md | Solide, midstream
États-Unis | Énergie | Energy Transfer | https://www.energytransfer.com | USD 82.67 Md | FY2024 | https://ir.energytransfer.com/news-releases | Large cap / groupe >1 Md | Solide, midstream
États-Unis | Énergie | Targa Resources | https://www.targaresources.com | USD 16.38 Md | FY2024 | https://www.targaresources.com/investors | Large cap / groupe >1 Md | Solide, midstream
États-Unis | Énergie | Devon Energy | https://www.devonenergy.com | USD 15.94 Md | FY2024 | https://www.devonenergy.com/investors | Large cap / groupe >1 Md | Solide, E&P (1 source)
États-Unis | Énergie | Diamondback Energy | https://www.diamondbackenergy.com | USD 11.07 Md | FY2024 | https://ir.diamondbackenergy.com/ | Large cap / groupe >1 Md | Solide, E&P (1 source)
États-Unis | Énergie | EQT Corporation | https://www.eqt.com | USD 5.27 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0000033213/000003321324000018/ex9913312024earningsrelease.htm | Large cap / groupe >1 Md | Solide, gaz naturel
États-Unis | Énergie | Hess Corporation | https://www.hess.com | USD 12.9 Md | FY2024 | https://www.hess.com/investors | Large cap / groupe >1 Md | Solide, E&P (1 source)
États-Unis | Énergie | First Solar | https://www.firstsolar.com | USD 4.2 Md | FY2024 | https://www.businesswire.com/news/home/20250225031936/en/First-Solar-Inc.-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results-and-2025-Guidance | Large cap / groupe >1 Md | Solide, solaire
Canada | Énergie | Fortis Inc. | https://www.fortisinc.com | CAD 11.5 Md | FY2024 | https://www.fortisinc.com/news/news-releases/detail?id=9581 | Large cap / groupe >1 Md | Solide
Canada | Énergie | Imperial Oil | https://www.imperialoil.ca | CAD 51.5 Md | FY2024 | https://www.imperialoil.ca/en-ca/company/investors | Large cap / groupe >1 Md | Solide (1 source)
Canada | Énergie | Canadian Natural Resources | https://www.cnrl.com | CAD 35.7 Md | FY2024 | https://www.cnrl.com/content/uploads/2025/03/Q424-Interim-Report.pdf | Large cap / groupe >1 Md | Solide, E&P
Canada | Énergie | Pembina Pipeline | https://www.pembina.com | CAD 7.38 Md | FY2024 | https://www.pembina.com/media-centre/news/details/01a33107-258e-4eda-b45e-ca942a3d976b | Large cap / groupe >1 Md | Solide, midstream
Royaume-Uni | Énergie | Centrica | https://www.centrica.com | GBP 19.9 Md | FY2024 | https://www.centrica.com/media-centre/news/2025/preliminary-results-for-the-year-ended-31-december-2024/ | Large cap / groupe >1 Md | Solide
Allemagne | Énergie | EnBW | https://www.enbw.com | EUR 35.4 Md | FY2024 | https://www.enbw.com/annual-report-2024/financial-statements/income-statement.html | Large cap / groupe >1 Md | Solide
Espagne | Énergie | Endesa | https://www.endesa.com | EUR 24 Md | FY2024 | https://www.endesa.com/en/press/press-room/news/economic-information/results-2024 | Large cap / groupe >1 Md | Solide
Italie | Énergie | A2A | https://www.gruppoa2a.it | EUR 12.86 Md | FY2024 | https://www.gruppoa2a.it/en/media/press-releases/a2a-results-31-december-2024 | Large cap / groupe >1 Md | Solide
Italie | Énergie | Terna S.p.A. | https://www.terna.it | EUR 3.4 Md | FY2024 | https://www.terna-reports.it/2024/docs/en/06%20TERNA_RFA_2024_ENG_Consolidated%20Financial%20Statements.pdf | Large cap / groupe >1 Md | Solide, transport élec.
Italie | Énergie | Italgas | https://www.italgas.it | EUR 1.78 Md | FY2024 | https://www.italgas.it/en/press-releases-price-sensitive/italgas-consolidated-results-as-at-31-december-2024-approved/ | Large cap / groupe >1 Md | Solide, distribution gaz
Espagne | Énergie | Redeia (Red Eléctrica) | https://www.redeia.com | EUR 1.65 Md | FY2024 | https://www.redeia.com/sites/default/files/06_ACCIONISTAS/Documentos/Hechos_relevantes/2025/HR_Presentation_ResultPE_2024_EN.pdf | Large cap / groupe >1 Md | Solide, transport élec.
Belgique | Énergie | Elia Group | https://www.eliagroup.eu | EUR 4.1 Md | FY2024 | https://www.elia.be/en/press/2025/03/20250307_q4-annual-results-press-release-2024 | Large cap / groupe >1 Md | Solide, transport élec.
Brésil | Énergie | Petrobras | https://www.petrobras.com.br | BRL 490.8 Md | FY2024 | https://agencia.petrobras.com.br/en/w/negocio/petrobras-lucra-r-36-6-bilhoes-em-2024 | Large cap / groupe >1 Md | Solide, leader mondial
Colombie | Énergie | Ecopetrol | https://www.ecopetrol.com.co | COP 133 000 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001444406/000129281425000719/ex99-1.htm | Large cap / groupe >1 Md | Solide (1 source)
Argentine | Énergie | YPF | https://www.ypf.com | USD 19.29 Md | FY2024 | https://www.ypf.com/english/investors | Large cap / groupe >1 Md | Solide (1 source)
Brésil | Énergie | Eletrobras | https://www.eletrobras.com | BRL 47.7 Md | FY2024 | https://ri.eletrobras.com/ | Large cap / groupe >1 Md | Solide, élec.
Brésil | Énergie | Engie Brasil Energia | https://www.engie.com.br | BRL 11.22 Md | FY2024 | https://www.engie.com.br/wp-content/uploads/2025/02/Fact-Sheet-4Q24_ENG.pdf | Large cap / groupe >1 Md | Solide, régional
Chili | Énergie | Empresas Copec | https://www.empresascopec.cl | USD 28.1 Md | FY2024 | https://www.empresascopec.cl/wp-content/uploads/2025/02/06.a-Press-Release-4Q24-ENG-comunicaciones.pdf | Large cap / groupe >1 Md | Solide
Chili | Énergie | Enel Américas | https://www.enelamericas.com | USD 14 Md | FY2024 | https://www.enelamericas.com/en/investors.html | Large cap / groupe >1 Md | Solide, régional (1 source)
Inde | Énergie | NTPC | https://www.ntpc.co.in | INR 1 841 Md | FY2024 | https://ntpc.co.in/media/press-releases/ntpc-fy24-audited-results-ntpc-group-generation-6-pat-25 | Large cap / groupe >1 Md | Solide, production élec.
Inde | Énergie | Power Grid Corporation of India | https://www.powergrid.in | INR 469 Md | FY2024 | https://www.pib.gov.in/PressReleasePage.aspx?PRID=2021366 | Large cap / groupe >1 Md | Solide, transport élec.
Inde | Énergie | Tata Power | https://www.tatapower.com | INR 615 Md | FY2024 | https://www.tatapower.com/news-and-media/media-releases/final-tata-power-press-release-q4fy24-and-annual-results | Large cap / groupe >1 Md | Solide
Inde | Énergie | Indian Oil Corporation | https://www.iocl.com | INR 8 700 Md | FY2024 | https://www.iocl.com/investor-financial-result | Large cap / groupe >1 Md | Solide, raffinage (1 source)
Inde | Énergie | GAIL (India) | https://www.gailonline.com | INR 1 345 Md | FY2024 | https://www.gailonline.com/pdf/InvestorsZone/GAIL_Investor_Presentation_FY2024_25.pdf | Large cap / groupe >1 Md | Solide, gaz
Inde | Énergie | Bharat Petroleum (BPCL) | https://www.bharatpetroleum.in | INR 5 069 Md | FY2024 | https://www.bharatpetroleum.in/our-businesses/investor-relations.aspx | Large cap / groupe >1 Md | Solide, raffinage
Inde | Énergie | Adani Power | https://www.adanipower.com | INR 509 Md | FY2024 | https://www.adanipower.com/investors | Large cap / groupe >1 Md | Solide, production élec. (1 source)
Japon | Énergie | Kansai Electric Power | https://www.kepco.co.jp | JPY 4 337 Md | FY2024 | https://www.kepco.co.jp/english/corporate/ir/brief/earnings/2025/pdf/pdf2025_04_05.pdf | Large cap / groupe >1 Md | Solide
Japon | Énergie | Chubu Electric Power | https://www.chuden.co.jp | JPY 3 669 Md | FY2024 | https://www.chuden.co.jp/english/corporate/releases/keypoint/1216032_5151.html | Large cap / groupe >1 Md | Solide
Japon | Énergie | JERA | https://www.jera.co.jp | JPY 3 356 Md | FY2024 | https://www.jera.co.jp/en/news/information/20250428_2166 | Large cap / groupe >1 Md | Solide, production élec./GNL
Japon | Énergie | Tohoku Electric Power | https://www.tohoku-epco.co.jp | JPY 2 640 Md | FY2024 | https://www.tohoku-epco.co.jp/ir/ | Large cap / groupe >1 Md | Solide (1 source)
Corée du Sud | Énergie | Korea Electric Power (KEPCO) | https://home.kepco.co.kr | KRW 94 001 Md | FY2024 | https://www.stocktitan.net/news/KEP/korea-electric-power-corporation-files-2024-annual-report-on-form-20-j9fs6n3jgf0m.html | Large cap / groupe >1 Md | Solide, retour aux bénéfices 2024
Malaisie | Énergie | Tenaga Nasional | https://www.tnb.com.my | MYR 65.8 Md | FY2024 | https://www.tnb.com.my/investor-relations | Large cap / groupe >1 Md | Solide (1 source)
Thaïlande | Énergie | PTT | https://www.pttplc.com | THB 3 000 Md | FY2024 | https://ptt.listedcompany.com/misc/factsheet/20250321-ptt-factsheet-2024.pdf | Large cap / groupe >1 Md | Solide (1 source)
Australie | Énergie | Ampol | https://www.ampol.com.au | AUD 34.88 Md | FY2024 | https://www.ampol.com.au/about/investor-centre | Large cap / groupe >1 Md | Solide, carburants (1 source)
Australie | Énergie | Viva Energy | https://www.vivaenergy.com.au | AUD 30.1 Md | FY2024 | https://www.vivaenergy.com.au/investor-centre/financial-results/2024 | Large cap / groupe >1 Md | Solide, carburants
Australie | Énergie | Santos | https://www.santos.com | USD 5.4 Md | FY2024 | https://www.santos.com/news/santos-reports-strong-financial-results/ | Large cap / groupe >1 Md | Solide, gaz/GNL
Australie | Énergie | APA Group | https://www.apa.com.au | AUD 2.9 Md | FY2024 | https://www.apa.com.au/investors/ | Large cap / groupe >1 Md | Solide, gazoducs (1 source)
Afrique du Sud | Énergie | Sasol | https://www.sasol.com | ZAR 275.1 Md | FY2024 | https://www.prnewswire.com/news-releases/sasol-limited-audited-financial-results-for-the-year-ended-30-june-2024-302226150.html | Large cap / groupe >1 Md | À surveiller : perte nette FY2024 (impairments), CA et opérations solides
Arabie saoudite | Énergie | Saudi Electricity Company | https://www.se.com.sa | SAR 88.7 Md | FY2024 | https://www.se.com.sa/en/News/CorporateNews/CorporateNews31 | Large cap / groupe >1 Md | Solide, régional
Émirats arabes unis | Énergie | TAQA (Abu Dhabi National Energy) | https://www.taqa.com | AED 55.2 Md | FY2024 | https://www.taqa.com/investor-relations/ | Large cap / groupe >1 Md | Solide, régional
Émirats arabes unis | Énergie | DEWA (Dubai Electricity & Water) | https://www.dewa.gov.ae | USD 8.4 Md | FY2024 | https://www.dewa.gov.ae/en/about-us/investor-relations | Large cap / groupe >1 Md | Solide, régional (1 source)
Danemark | Énergie | Vestas Wind Systems | https://www.vestas.com | EUR 17.3 Md | FY2024 | https://www.vestas.com/en/media/company-news/2025/vestas-annual-report-2024---progress-in-a-challenging-y-c4100723 | Large cap / groupe >1 Md | Solide, leader éolien
Allemagne | Énergie | Nordex | https://www.nordex-online.com | EUR 7.3 Md | FY2024 | https://www.nordex-online.com/en/2025/02/nordex-group-achieves-all-2024-financial-and-operational-targets-reporting-substantial-increase-in-profitability/ | Large cap / groupe >1 Md | Solide, retour au bénéfice 2024
