Espagne | Aerospace | Aernnova | https://www.aernnova.com | EUR 986 M | FY2024 | https://www.aernnova.com | Mid cap 200M-1Md | Quasi-leader aérostructures, solide (1 source)
France | Aerospace | Figeac Aéro | https://www.figeac-aero.com | EUR 432 M | FY2024/25 | https://www.figeac-aero.com/sites/default/files/CP_FGA_20250610_RA%20FY24-25_FR_vdef.pdf | Mid cap 200M-1Md | Quasi-leader, CA +8,1% (1 source)
Royaume-Uni | Aerospace | Babcock International | https://www.babcockinternational.com | GBP 4.39 Md | FY2024 | https://www.babcockinternational.com/investors/ | Large cap / groupe >1 Md | Leader défense/MRO, solide (1 source)
Royaume-Uni | Aerospace | Chemring Group | https://www.chemring.com | GBP 510 M | FY2024 | https://www.chemring.com/~/media/Files/C/Chemring-V3/press-releases/fy-results-pr-17-12-2024.pdf | Mid cap 200M-1Md | Quasi-leader, CA +8%
Canada | Aerospace | Magellan Aerospace | https://www.magellan.aero | CAD 942 M | FY2024 | https://www.businesswire.com/news/home/20241105176649/en/Magellan-Aerospace-Corporation-Announces-Financial-Results | Mid cap 200M-1Md | Quasi-leader, CA +7,1% (1 source)
Brésil | Aerospace | Embraer | https://www.embraer.com | USD 6.4 Md | FY2024 | https://www.prnewswire.com/news-releases/embraer-earnings-results-4th-quarter-and-fiscal-year-2024-302387668.html | Large cap / groupe >1 Md | Leader, CA record +21%
Israël | Aerospace | Elbit Systems | https://www.elbitsystems.com | USD 6.8 Md | FY2024 | https://www.elbitsystems.com/news/elbit-systems-reports-fourth-quarter-and-full-year-2024-results | Large cap / groupe >1 Md | Leader défense, CA +14%
Israël | Aerospace | Israel Aerospace Industries | https://www.iai.co.il | USD 6.1 Md | FY2024 | https://www.flightglobal.com/defence/record-orders-propelled-iais-financial-performance-in-2024/162256.article | Large cap / groupe >1 Md | Leader, CA record +15%
Singapour | Aerospace | ST Engineering | https://www.stengg.com | SGD 11.28 Md | FY2024 | https://www.stengg.com/en/newsroom/news-releases/fy2024/ | Large cap / groupe >1 Md | Leader, CA record +12%
Corée du Sud | Aerospace | Hanwha Aerospace | https://www.hanwhaaerospace.com | KRW 11 240 Md | FY2024 | https://www.hanwhaaerospace.com/eng/ir/ | Large cap / groupe >1 Md | Leader, CA record +42,5%
Corée du Sud | Aerospace | Korea Aerospace Industries | https://www.koreaaero.com | KRW 3 630 Md | FY2024 | https://m.koreaaero.com/EN/Ir/FinancialReport.aspx | Large cap / groupe >1 Md | Quasi-leader, CA +8,5% (1 source)
Inde | Aerospace | Hindustan Aeronautics | https://hal-india.co.in | INR 330.9 Md | FY2024 | https://www.screener.in/company/HAL/consolidated/ | Large cap / groupe >1 Md | Leader, solide (1 source)
Inde | Aerospace | Bharat Electronics | https://bel-india.in | INR 211.2 Md | FY2024 | https://www.equitymaster.com/research-it/annual-results-analysis/BHEC/BHARAT-ELECTRONICS-2023-24-Annual-Report-Analysis/10930 | Large cap / groupe >1 Md | Quasi-leader, CA +16,6% (1 source)
