#;Etablissement;Categorie;Note Google;Avis;Telephone;Langue du message;Lien WhatsApp;Remarque;Statut contact;Source;Date consultation
11;Veluvana Bali Bamboo House;n.c.;4.9;617;+62 823-4086-1486;anglais;https://wa.me/6282340861486?text=Hi%21%20I%20came%20across%20Veluvana%20Bali%20Bamboo%20House.%20The%20photos%20are%20beautiful%2C%20but%20everything%20is%20still%20a%20still%20image.%0A%0AI%20turn%20the%20photos%20already%20on%20your%20listing%20into%20a%2020%20second%20vertical%20video.%20No%20new%20photo%20session%2C%20no%20photographer%20on%20site%2C%20no%20guests%20disturbed.%20It%20works%20as%20the%20Airbnb%20cover%2C%20and%20on%20Reels%20and%20TikTok.%0A%0AHappy%20to%20send%20a%20sample%20visual%20first%2C%20no%20strings.%20Just%20send%2015%20to%2020%20photos%20to%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
12;Natya River Sidemen;n.c.;4.8;585;+62 366 5582086;anglais;https://wa.me/623665582086?text=Hi%21%20I%20came%20across%20Natya%20River%20Sidemen.%20The%20photos%20are%20beautiful%2C%20but%20everything%20is%20still%20a%20still%20image.%0A%0AI%20turn%20the%20photos%20already%20on%20your%20listing%20into%20a%2020%20second%20vertical%20video.%20No%20new%20photo%20session%2C%20no%20photographer%20on%20site%2C%20no%20guests%20disturbed.%20It%20works%20as%20the%20Airbnb%20cover%2C%20and%20on%20Reels%20and%20TikTok.%0A%0AHappy%20to%20send%20a%20sample%20visual%20first%2C%20no%20strings.%20Just%20send%2015%20to%2020%20photos%20to%20scipbeylouni%40gmail.com.;Ligne fixe, WhatsApp peu probable;A contacter;Google Maps;2026-08-04
13;Numa Bali;n.c.;4.9;379;+62 822-6608-1805;indonesien;https://wa.me/6282266081805?text=Halo%21%20Saya%20lihat%20Numa%20Bali%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
14;Pondok Wisata Patal Kikian;n.c.;4.5;358;+62 813-5327-8504;indonesien;https://wa.me/6281353278504?text=Halo%21%20Saya%20lihat%20Pondok%20Wisata%20Patal%20Kikian%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
15;Alamdhari Villa Sidemen;n.c.;4.6;314;+62 816-1574-6774;indonesien;https://wa.me/6281615746774?text=Halo%21%20Saya%20lihat%20Alamdhari%20Villa%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
16;Pondok Masa Depan;n.c.;4.9;123;+62 812-3699-0526;indonesien;https://wa.me/6281236990526?text=Halo%21%20Saya%20lihat%20Pondok%20Masa%20Depan%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
17;Sandag Hill;n.c.;4.8;102;+62 859-3226-8903;indonesien;https://wa.me/6285932268903?text=Halo%21%20Saya%20lihat%20Sandag%20Hill%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
18;The River Island Sidemen;n.c.;4.9;87;+62 822-6622-7546;indonesien;https://wa.me/6282266227546?text=Halo%21%20Saya%20lihat%20The%20River%20Island%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
19;Gongwi Cottages Sidemen;n.c.;4.7;54;+62 878-6297-8143;indonesien;https://wa.me/6287862978143?text=Halo%21%20Saya%20lihat%20Gongwi%20Cottages%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
20;Uma D Mapad Sidemen;n.c.;5.0;46;+62 851-7956-4828;indonesien;https://wa.me/6285179564828?text=Halo%21%20Saya%20lihat%20Uma%20D%20Mapad%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
21;Nirarta Centre for Living Awareness;n.c.;4.4;44;+62 366 5551124;anglais;https://wa.me/623665551124?text=Hi%21%20I%20came%20across%20Nirarta%20Centre%20for%20Living%20Awareness.%20The%20photos%20are%20beautiful%2C%20but%20everything%20is%20still%20a%20still%20image.%0A%0AI%20turn%20the%20photos%20already%20on%20your%20listing%20into%20a%2020%20second%20vertical%20video.%20No%20new%20photo%20session%2C%20no%20photographer%20on%20site%2C%20no%20guests%20disturbed.%20It%20works%20as%20the%20Airbnb%20cover%2C%20and%20on%20Reels%20and%20TikTok.%0A%0AHappy%20to%20send%20a%20sample%20visual%20first%2C%20no%20strings.%20Just%20send%2015%20to%2020%20photos%20to%20scipbeylouni%40gmail.com.;Ligne fixe, WhatsApp peu probable;A contacter;Google Maps;2026-08-04
22;Kubu Taru;n.c.;4.1;36;+62 811-388-489;indonesien;https://wa.me/62811388489?text=Halo%21%20Saya%20lihat%20Kubu%20Taru%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
23;Villa Damai Rohani;n.c.;4.9;32;+62 812-9777-6245;indonesien;https://wa.me/6281297776245?text=Halo%21%20Saya%20lihat%20Villa%20Damai%20Rohani%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
24;Gladak di Uma Bali;n.c.;4.8;24;+62 817-4776-361;indonesien;https://wa.me/628174776361?text=Halo%21%20Saya%20lihat%20Gladak%20di%20Uma%20Bali%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
25;Atamendra Sidemen Resort;n.c.;n.d.;n.d.;+62 877-9879-1817;indonesien;https://wa.me/6287798791817?text=Halo%21%20Saya%20lihat%20Atamendra%20Sidemen%20Resort%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
