609 | IA / Numérique | 133,1 Md CNY | FY2024 | https://www.sec.gov/Archives/edgar/data/0001329099/000119312525066199/d853848d20f.htm | Large cap / groupe >1 Md | Oui
701 | IA / Numérique | 2,37 Md BRL | FY2024 | https://www.sec.gov/Archives/edgar/data/1868995/000129281425000828/cintfs4q24_6k.htm | Large cap / groupe >1 Md | Oui
702 | IA / Numérique | env. 20,8 Md USD | FY2024 | https://www.sec.gov/Archives/edgar/data/0001099590/000109959024000039/meli-20241106xex991.htm | Large cap / groupe >1 Md | Oui
703 | IA / Numérique | 11,51 Md USD | FY2024 | https://www.businesswire.com/news/home/20250220410723/en/Nu-Holdings-Ltd.-Reports-Fourth-Quarter-and-Full-Year-2024-Financial-Results | Large cap / groupe >1 Md | Oui
704 | IA / Numérique | 13,26 Md BRL | FY2024 | https://www.sec.gov/Archives/edgar/data/0001745431/000129281425000956/ex99-1.htm | Large cap / groupe >1 Md | Oui
705 | IA / Numérique | 18,81 Md BRL | FY2024 | https://www.sec.gov/Archives/edgar/data/0001712807/000162828025006745/a080_pagseguroxerx6k.htm | Large cap / groupe >1 Md | Oui
706 | IA / Numérique | env. 11,67 Md BRL | FY2024 | https://static.poder360.com.br/2025/02/balanco-financeiro-b3-4o-tri-2024.pdf | Large cap / groupe >1 Md | Oui
707 | IA / Numérique | 158,6 Md BRL (produit bancaire) | FY2024 | https://www.itau.com.br/relacoes-com-investidores/en/results-and-reports/results-center/ | Large cap / groupe >1 Md | Oui
708 | IA / Numérique | env. 139 Md BRL (marge fin. brute + services) | FY2024 | https://agenciabrasil.ebc.com.br/economia/noticia/2025-02/banco-do-brasil-tem-lucro-recorde-de-r-379-bi-em-2024 | Large cap / groupe >1 Md | Oui
709 | IA / Numérique | env. 93 Md BRL (marge fin. + services) | FY2024 | https://www.cnnbrasil.com.br/economia/negocios/lucro-do-bradesco-tem-salto-anual-de-877-no-4o-tri/ | Large cap / groupe >1 Md | Oui
710 | IA / Numérique | env. 139 Md MXN (marge d'intérêt nette) | FY2024 | https://investors.banorte.com/~/media/Files/B/Banorte-IR/financial-information/annual-reports/es/2025/Informe%20Anual%20Integrado%202024.pdf | Large cap / groupe >1 Md | Oui
711 | IA / Numérique (hors 7 ; réel : distribution / agro-alimentaire) | 408,3 Md MXN | FY2024 | https://expansion.mx/economia/2025/02/28/grupo-bimbo-record-de-ventas-netas-en-2024 | Large cap / groupe >1 Md | Oui
712 | Énergie | env. 40 Md BRL (est., extrapolé sur 9,86 Md BRL au 3T24) | FY2024 | https://ri.weg.net/en/financial-information/results-center/ | Large cap / groupe >1 Md | Oui
713 | IA / Numérique | 746 M USD | FY2024 | https://www.globenewswire.com/news-release/2025/02/27/3034284/0/en/dLocal-Reports-2024-Fourth-Quarter-Financial-Results.html | Mid cap 200M-1Md | Oui
789 | IA / Numérique | 6,43 Md USD | FY2024 (clôture 03/2024) | https://www.naspers.com/news-insights/group-updates/2024/naspers-annual-report-fy2024-media-release | Large cap / groupe >1 Md | Oui
790 | IA / Numérique | 55,0 Md ZAR | FY2024 (clôture 03/2024) | https://investors.multichoice.com/pdf/annual-results/FY24/fy24-results-press-release.pdf | Large cap / groupe >1 Md | Oui
791 | IA / Numérique | 181,7 Md ZAR (produit net bancaire) | FY2024 | https://www.standardbank.com/static_file/Investor%20Relations/Documents/Financial-results/Annual-Results/SBG_2024_Annual-Results-Booklet-(double-page-spreads).pdf | Large cap / groupe >1 Md | Oui
792 | IA / Numérique | 127,0 Md ZAR | FY2024 (clôture 06/2024) | https://www.firstrand.co.za/media/investors/reports/FirstRand-Analysis-of-financial-results-2024-single-page-printable-booklet.pdf | Large cap / groupe >1 Md | Oui
793 | IA / Numérique | env. 104 Md ZAR (produit net bancaire) | FY2024 | https://www.absa.co.za/media-centre/press-statements/2025/absa-group-earnings-increase-in-2024/ | Large cap / groupe >1 Md | Oui
794 | IA / Numérique | env. 70 Md ZAR (produit net bancaire) | FY2024 | https://group.nedbank.co.za/content/dam/group/pdf/20_financial-results/2024/annual-results/2024-annual-results-booklet-double-page-nedbank.pdf | Large cap / groupe >1 Md | Oui
795 | IA / Numérique | env. 39 Md ZAR (produit total : MII + revenus non-intérêts) | FY2024 (clôture 02/2024) | https://www.capitecbank.co.za/blog/news/2024/2024-audited-financial-results/ | Large cap / groupe >1 Md | Oui
796 | IA / Numérique (hors 7 ; réel : assurance/santé) | 79,6 Md ZAR | FY2024 (clôture 06/2024) | https://www.discovery.co.za/assets/discoverycoza/corporate/investor-relations/2024/results-booklet-fy-2024.pdf | Large cap / groupe >1 Md | Oui
797 | IA / Numérique (hors 7 ; réel : assurance) | env. 140 Md ZAR (à croiser) | FY2024 | https://www.sanlam.com/downloads/integrated-report-and-annual-financial-statements/2024/Sanlam-AFS-2024-singles.pdf | Large cap / groupe >1 Md | Oui
798 | IA / Numérique (hors 7 ; réel : distribution alimentaire) | 240,7 Md ZAR | FY2024 (clôture 06/2024) | https://www.shopriteholdings.co.za/newsroom/2024/fy2024-results-announcement.html | Large cap / groupe >1 Md | Oui
799 | IA / Numérique (hors 7 ; réel : distribution alimentaire) | env. 112,3 Md ZAR | FY2024 (clôture 02/2024) | https://www.moneyweb.co.za/mny_sens/pick-n-pay-stores-limited-audited-annual-financial-results-for-the-52-weeks-ended-25-february-2024/ | Large cap / groupe >1 Md | Oui
800 | Quantique (hors 7 ; réel : pharma/chimie fine) | 44,7 Md ZAR | FY2024 (clôture 06/2024) | https://www.aspenpharma.com/aspen-revenue-exceeds-r40-billion-with-accelerated-medium-term-growth-anticipated/ | Large cap / groupe >1 Md | Oui
801 | Énergie | 275,1 Md ZAR | FY2024 (clôture 06/2024) | https://www.prnewswire.com/news-releases/sasol-limited-audited-financial-results-for-the-year-ended-30-june-2024-302226150.html | Large cap / groupe >1 Md | Oui
802 | IA / Numérique (hors 7 ; réel : assurance) | env. 130 Md ZAR (à croiser) | FY2024 | https://www.oldmutual.com/investor-relations/2024-annual-results/ | Large cap / groupe >1 Md | Oui
803 | IA / Numérique (hors 7 ; réel : services/distribution diversifiée) | 121,0 Md ZAR | FY2024 (clôture 06/2024) | https://bidvest.co.za/pdf/results/annual-results/2024/fy2024-booklet.pdf | Large cap / groupe >1 Md | Oui
879 | IA / Numérique | 4,36 Md USD | FY2024 (clôture 06/2024) | https://www.sec.gov/Archives/edgar/data/0001650372/000165037224000049/team2024annualreport.pdf | Large cap / groupe >1 Md | Oui
880 | IA / Numérique | env. 2,8 Md USD (ARR fin 2024, déclaratif non coté, à croiser) | 2024 | https://sacra.com/c/canva/ | Large cap / groupe >1 Md | Oui
881 | IA / Numérique | env. 498 M AUD (ARR 470 M AUD) | FY2024 (clôture 09/2024) | https://www.technology1.com/resources/media-releases/full-year-results-2024 | Mid cap 200M-1Md | Oui
882 | IA / Numérique | 1 041,7 M AUD | FY2024 (clôture 06/2024) | https://www.wisetechglobal.com/media/ritbv4l3/wtc-fy24-asx-release.pdf | Large cap / groupe >1 Md | Oui
883 | IA / Numérique | env. 1 700 M NZD | FY2024 (clôture 03/2024) | https://announcements.asx.com.au/asxpdf/20240523/pdf/063v0mpqkvx702.pdf | Large cap / groupe >1 Md | Oui
884 | IA / Numérique | 1 453 M AUD | FY2024 (clôture 06/2024) | https://announcements.asx.com.au/asxpdf/20240809/pdf/066g4jwslw472h.pdf | Large cap / groupe >1 Md | Oui
885 | IA / Numérique | env. 1 100 M AUD | FY2024 (clôture 06/2024) | https://www.listcorp.com/asx/sek/seek-limited/news/seek-fy2024-full-year-results-announcement-3068055.html | Large cap / groupe >1 Md | Oui
886 | IA / Numérique | 1 099 M AUD | FY2024 (clôture 06/2024) | https://cargroup.com/wp-content/uploads/2024/08/FY24-Full-Year-Results-Presentation.pdf | Large cap / groupe >1 Md | Oui
887 | IA / Numérique | 391,1 M AUD | FY2024 (clôture 06/2024) | https://shareholders.domain.com.au/DownloadFile.axd?file=/Report/ComNews/20240816/02839306.pdf | Mid cap 200M-1Md | Oui
888 | IA / Numérique | 2 917,8 M USD | FY2024 (clôture 06/2024) | https://www.marketscreener.com/quote/stock/COMPUTERSHARE-LIMITED-6491396/news/Computershare-Limited-Reports-Earnings-Results-for-the-Full-Year-Ended-June-30-2024-47635121/ | Large cap / groupe >1 Md | Oui
889 | IA / Numérique | 26 100 M AUD (produit d'exploitation total) | FY2024 (clôture 06/2024) | https://www.commbank.com.au/content/dam/commbank-assets/investors/docs/results/fy24/CBA-FY24-Profit-Announcement.pdf | Large cap / groupe >1 Md | Oui
890 | IA / Numérique | env. 20 800 M AUD (produit d'exploitation total, à croiser) | FY2024 (clôture 09/2024) | https://www.nab.com.au/about-us/shareholder-centre/financial-disclosures-and-reporting/annual-reports | Large cap / groupe >1 Md | Oui
891 | IA / Numérique | env. 20 800 M AUD (produit d'exploitation total, à croiser) | FY2024 (clôture 09/2024) | https://www.anz.com/shareholder/centre/reporting/annual-report-annual-review/ | Large cap / groupe >1 Md | Oui
892 | IA / Numérique | env. 21 600 M AUD (produit d'exploitation total, à croiser) | FY2024 (clôture 09/2024) | https://www.westpac.com.au/about-westpac/investor-centre/financial-information/annual-reports/ | Large cap / groupe >1 Md | Oui
893 | IA / Numérique (hors 7 ; réel : assurance) | 22,4 Md USD (primes brutes émises) | FY2024 | https://www.qbe.com/media/qbe/group/document-listing/2025/02/27/03/50/fy24-annual-reportvsigned10410571.pdf | Large cap / groupe >1 Md | Oui
