639 | Crypto mining | USD 349.8 M | 2024 | https://news.moomoo.com/notice/304320967/bitdeer-technologies-20-f-registration-statement-annual-report-transition-report | Mid cap 200M-1Md | Oui
828 | Quantique | USD 3 282 M | 2024 | https://www.nasdaq.com/articles/harmony-gold-minings-earnings-and-revenues-increase-fy24 | Large cap / groupe >1 Md | Oui
829 | Quantique | ZAR 70.1 Md | 2024 | https://www.rttnews.com/3623064/kumba-iron-ore-fy-profit-slips-but-revenue-rises.aspx | Large cap / groupe >1 Md | Oui
830 | Énergie | n.d. | n.d. | n.d. | n.d. | Non
831 | Énergie | n.d. | n.d. | n.d. | n.d. | Non
832 | Énergie | n.d. | n.d. | n.d. | n.d. | Non
833 | Énergie | ZMW 30.8 Md | 2024 | https://diggers.news/business/2025/12/29/zescos-turnover-increased-to-k30-8-billion-in-2024-report/ | Mid cap 200M-1Md | Oui
909 | Crypto mining | USD 184.1 M | 2024 | https://iren.com/investors/reports | Small cap <200M | Non
910 | Énergie | AUD 13.6 Md | 2024 | https://stockanalysis.com/quote/asx/AGL/revenue/ | Large cap / groupe >1 Md | Oui
911 | Énergie | AUD 16.18 Md | 2024 | https://stockanalysis.com/quote/otc/OGFGF/revenue/ | Large cap / groupe >1 Md | Oui
912 | Énergie | AUD 7 197 M | 2024 | https://www.energyaustralia.com.au/about-us/media/news/energyaustralia-delivers-improved-performance | Large cap / groupe >1 Md | Oui
913 | Énergie | NZD 4.86 Md | 2024 | https://www.meridianenergy.co.nz/about-us/investors/reports/annual-results-and-reports | Large cap / groupe >1 Md | Oui
914 | Énergie | NZD 2.87 Md | 2024 | https://companiesmarketcap.com/nzd/contact-energy/revenue/ | Large cap / groupe >1 Md | Oui
915 | Énergie | NZD 2.62 Md | 2024 | https://companiesmarketcap.com/nzd/genesis-energy/revenue/ | Large cap / groupe >1 Md | Oui
916 | Énergie | NZD 3.43 Md | 2024 | https://www.listcorp.com/asx/mcy/mercury-nz-limited/news/fy2024-full-year-results-3070818.html | Large cap / groupe >1 Md | Oui
917 | Énergie | NZD 3.24 Md | 2024 | https://infratil.com/news/infratil-full-year-results-for-the-year-ended-31-march-2024/ | Large cap / groupe >1 Md | Oui
918 | Énergie | AUD 3.06 Md | 2024 | https://stockanalysis.com/quote/asx/APA/revenue/ | Large cap / groupe >1 Md | Oui
919 | Data center / télécom / Software | AUD 404.3 M | 2024 | https://nextdc.com/hubfs/Financial%20Reports/280827%20-%20FY24%20Results%20Announcement.pdf | Mid cap 200M-1Md | Oui
920 | Data center / télécom / Software | AUD 363.3 M | 2024 | https://www.macquarietechnologygroup.com/assets/wp-content/uploads/2024/09/MAQ-2024-Appendix-4E-Annual-Report.pdf | Mid cap 200M-1Md | Oui
921 | Data center / télécom / Software | AUD 416.6 M | 2024 | https://stockanalysis.com/quote/asx/SLC/revenue/ | Mid cap 200M-1Md | Oui
922 | Data center / télécom / Software | NZD 3.86 Md | 2024 | https://uk.marketscreener.com/quote/stock/SPARK-NEW-ZEALAND-LIMITED-6492600/news/Spark-New-Zealand-Posts-Fiscal-2024-Revenue-Down-14-to-NZ-3-86-Billion-EPS-of-NZ-0-173-47716076/ | Large cap / groupe >1 Md | Oui
923 | Data center / télécom / Software | AUD 23.5 Md | 2024 | https://www.telstra.com.au/content/dam/tcom/about-us/investors/pdf-g/telstra-annual-report-2024-interactive.pdf | Large cap / groupe >1 Md | Oui
