654 | Naval / Maritime | TWD 332,8 Md | 2023 | https://companiesmarketcap.com/evergreen-marine/revenue/ | Large cap / groupe >1 Md | Oui
843 | Naval / Maritime | USD ~5 Md (est. AGL) | 2024 | https://pitchbook.com/profiles/company/210761-65 | Large cap / groupe >1 Md | Oui
844 | Naval / Maritime | NGN 758 Md (jan-nov 2024) | 2024 | https://dailytrust.com/npa-our-revenue-rose-by-33-9-percent-in-2024/ | Large cap / groupe >1 Md | Oui
845 | Naval / Maritime | KES 60,98 Md | 2023 | https://www.kenyans.co.ke/news/98994-kpas-revenue-grows-ksh-61b-2023-cargo-surge-6 | Mid cap 200M-1Md | Oui
846 | Naval / Maritime | N$ 1,7 Md | FY2024 (mars 2024) | https://thebrief.com.na/2024/05/namport-handles-record-8-million-tonnes-in-cargo/ | Small cap <200M | Non
847 | Naval / Maritime | FCFA 77,34 Md | 2024 | https://walf-groupe.com/blog/2025/05/01/port-autonome-de-dakar-un-chiffre-daffaires-en-hausse-en-2024-selon-le-dg/ | Small cap <200M | Non
848 | Naval / Maritime | n.d. (filiale DP World ; groupe USD 20 Md) | 2024 | https://www.londonstockexchange.com/news-article/91SN/dp-world-reports-2024-revenue-and-ebitda/16938411 | Small cap <200M | Non
924 | Naval / Maritime | AUD 1 469 M | FY2024 (juin 2024) | https://www.austal.com/media-releases/austal-reports-improved-ebit-565-million-fy2024-order-book-worth-127-billion | Large cap / groupe >1 Md | Oui
925 | Naval / Maritime | AUD ~54-126 M | 2024/25 | https://www.ibisworld.com/au/company/incat-tasmania-pty-ltd/10191/ | Small cap <200M | Non
926 | Naval / Maritime | AUD 3,5 Md | FY2024 (juin 2024) | https://www.nasdaq.com/articles/qube-holdings-reports-strong-fy24-financial-performance | Large cap / groupe >1 Md | Oui
927 | Naval / Maritime | AUD 3 844 M | FY2024 (juin 2024) | https://www.thedcn.com.au/news/aurizon-releases-2024-full-year-results/ | Large cap / groupe >1 Md | Oui
928 | Naval / Maritime | AUD 2 040 M | FY2024 (juin 2024) | https://stockanalysis.com/quote/asx/KLS/revenue/ | Large cap / groupe >1 Md | Oui
929 | Naval / Maritime | AUD 5,6 Md | 2023 | https://en.wikipedia.org/wiki/Toll_Group | Large cap / groupe >1 Md | Oui
930 | Naval / Maritime | AUD 928 M (base 100%) | FY2024 (juin 2024) | https://www.worldcargonews.com/news/2024/08/patrick-terminals-fy2024-results-boosted-by-market-share-surge-during-dp-world-strikes/ | Mid cap 200M-1Md | Oui
931 | Naval / Maritime | AUD ~500 M+ (est. ; non publié) | 2024 | https://giia.net/case-studies/port-of-melbourne/ | Mid cap 200M-1Md | Oui
932 | Naval / Maritime | AUD ~400 M (est. ; non publié) | FY2024 | https://www.portbris.com.au/resources/financial-performance | Mid cap 200M-1Md | Oui
933 | Naval / Maritime | AUD ~230 M | FY2024 | https://www.ibisworld.com/australia/company/newcastle-port-corporation/432459/ | Small cap <200M | Non
934 | Naval / Maritime | NZD 56,1 M | FY2024 (juin 2024) | https://southport.co.nz/annual-report/2024 | Small cap <200M | Non
935 | Naval / Maritime | NZD 141,4 M | FY2024 (sept 2024) | https://www.napierport.co.nz/fllyr-napier-port-2024-annual-results/ | Small cap <200M | Non
936 | Naval / Maritime | NZD 339 M | FY2024 (juin 2024) | https://www.poal.co.nz/customer-centre/forms-and-resources/2024-annual-report | Mid cap 200M-1Md | Oui
937 | Naval / Maritime | AUD ~400 M (est. ; rachat Cyan AUD 1,1 Md) | FY2024 | https://www.bairdmaritime.com/offshore/offshore-support-maintenance/cyan-renewables-acquires-australias-mma-offshore-in-au11-billion-deal | Mid cap 200M-1Md | Oui
938 | Naval / Maritime | AUD 732 M | FY2024/25 | https://aidn.org.au/babcock-contributes-758m-to-australias-gdp-reinforcing-economic-growth-and-security/ | Mid cap 200M-1Md | Oui
